,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,alpha0,beta0,Sdown
54,14419473.807535984,5353929.998635134,293.0,177288.0,605.0784982935154,4176843.771995015,300.2995670665779,0.0015126962457337886,0.0014759262037222186,,0.09113727051998567,8097.270168951131,292.97648239021487
55,6468306.220887356,2298909.955821012,296.0,177881.0,600.9493243243244,4120607.642702247,303.57280714756155,0.0015023733108108109,0.0014648957005685879,,0.09165759178721695,7991.131296408826,295.9753623230265
56,20049459.83777741,7548771.054241041,295.0,177136.0,600.4610169491525,4147611.455259982,302.30086757521343,0.0015011525423728814,0.0014648982106868086,,0.09044311618727921,8098.450564515414,294.9765354575272
57,7839261.03323074,2790000.569421799,295.0,176927.0,599.7525423728814,4171645.9082562486,302.5437302655509,0.0014993813559322036,0.001461995261352023,,0.08990020999676644,8131.211603424555,294.9755920163877
58,10919120.25894208,3971427.5249383086,295.0,177590.0,602.0,4186522.718644068,302.44361051234745,0.001505,0.0014679595950064697,,0.09028911608044003,8129.216780119106,294.975983435669
59,10294994.105109746,3759095.755347044,295.0,177517.0,601.7525423728814,4109545.698086757,302.42551266921663,0.0015043813559322036,0.001467443986729407,,0.09154443499539436,8014.927323562785,294.9759574923603
60,13682917.706662737,5094504.199512579,293.0,177108.0,604.4641638225256,4139655.48421065,300.2871747311992,0.001511160409556314,0.0014744885471593776,,0.09212369763742909,8002.764679303892,292.9764543021596
61,10492176.206759632,3830844.8751677135,294.0,177129.0,602.4795918367347,4148443.39244065,301.3997073674991,0.0015061989795918367,0.0014692200727987534,,0.09134377836598442,8042.255855193951,293.9760624421892
62,13988633.434538234,5232409.439434398,293.0,176875.0,603.6689419795222,4099925.381868165,300.26804623739724,0.0015091723549488054,0.001472642545688657,,0.09271556982439669,7941.721916167061,292.97648229841894
63,11722625.715000937,4254843.786401177,297.0,177385.0,597.2558922558923,4149492.2442834633,304.511925754748,0.0014931397306397307,0.001456305853706242,,0.08924728457712566,8158.824442707456,296.97579484408294
64,9285645.865868822,3347585.940433885,296.0,177093.0,598.2871621621622,4124143.373618973,303.5137284246905,0.0014957179054054055,0.0014586901959851653,,0.09038454072631441,8069.356685686432,295.97568474035955
65,13374081.929798028,4988842.59578857,291.0,175498.0,603.0859106529209,4092352.497773999,298.2307710353323,0.0015077147766323024,0.0014711593926973437,,0.0926745205846079,7937.237675560661,290.9765913734982
66,8674408.355166603,3128874.676472912,295.0,177186.0,600.6305084745762,4102455.968560757,302.4814693046927,0.0015015762711864406,0.0014644368166361846,,0.09116151286520398,8032.1002285338045,294.97575120424835
67,8147671.48507764,2923038.8041624106,296.0,177564.0,599.8783783783783,4110941.708181154,303.53249633460297,0.0014996959459459458,0.0014624793238304542,,0.09087099956101538,8047.00801628396,295.975581870591
68,6808021.200487647,2427472.6565484363,293.0,177102.0,604.4436860068259,4147653.02498573,300.47566699211694,0.0015111092150170648,0.0014735136606306817,,0.09167520941885976,8036.598279793759,292.9757202778053
