,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,r,xi,xip
80,31945710.596508358,12888882.95726552,277.0,88108.0,741.9165958082428,5587919.870916328,296.89321042891373,0.0015903971119133572,0.0014838331916164856,266.40638161107387,0.09851847205082138,0.9998672284834166,0.999668137301412
81,20496970.683035225,8027153.988873325,283.0,88447.0,728.6281347838492,5459350.326933084,303.47098807211927,0.0015626678445229683,0.0014572562695676985,271.795138068962,0.09725879317034683,0.9998665357430555,0.9996664061419234
82,9427697.036787458,3506866.5093898587,288.0,87348.0,706.593191734819,5215373.306588081,309.0462837093868,0.0015164583333333334,0.001413186383469638,275.84485000641394,0.09574417044206807,0.9998645172358339,0.9996613619090217
83,2826117.9885641253,962800.347753491,283.0,89461.0,736.5154820844049,5793775.833839303,303.66299886465845,0.0015805830388692578,0.0014730309641688096,269.72136084818527,0.09363911161988314,0.9998728781535208,0.9996822559721134
84,5267153.512100138,1879219.4573018544,285.0,89069.0,728.1867178166121,5607214.6239141645,305.79038940405155,0.0015626140350877193,0.0014563734356332241,272.3820854366798,0.09457900272201442,0.9998701339672801,0.9996753981503317
85,5454833.039438104,1938420.0303635416,286.0,88365.0,719.6367006881194,5540491.192576734,306.9778122610515,0.0015448426573426573,0.0014392734013762387,273.32700967393805,0.09348345428214794,0.9998701131947195,0.9996753462391585
86,7724590.461687515,2797550.14192537,282.0,88112.0,727.7909807299536,5691656.47660045,302.66931829667004,0.0015622695035460992,0.0014555819614599072,269.8621353343481,0.0930743892416546,0.9998721301990515,0.9996803868009431
87,6192845.68624468,2307030.978504072,273.0,88195.0,754.0205529755775,5648214.655622983,292.41576921198526,0.0016152930402930402,0.001508041105951155,261.29875180259063,0.1006730336071741,0.9998665028510868,0.9996663239449199
88,21290578.966306377,8394059.545555523,282.0,88896.0,735.1379120097962,5508023.381728502,302.3106227679338,0.0015761702127659574,0.0014702758240195922,270.8965904922525,0.09812955591727157,0.9998665332622864,0.999666399942483
89,6925352.041524913,2533216.8189173853,284.0,88141.0,723.2983251082794,5448900.822435732,304.6495371975495,0.0015517781690140844,0.0014465966502165586,271.74949261627273,0.09602485689741626,0.9998672579390452,0.9996682109111641
90,3963199.234961841,1390744.300608405,280.0,88029.0,732.6344825941767,5658452.406139747,300.38512413550063,0.0015719464285714286,0.0014652689651883531,267.30498338761765,0.0948709562772886,0.9998705238764933,0.9996763725442759
91,8710429.999484543,3178020.407594678,283.0,88284.0,726.6281824384214,5670606.715925871,303.7454441408268,0.0015597879858657245,0.0014532563648768427,270.93591009911773,0.0931216370263483,0.9998718605929067,0.9996797130443377
92,25062151.49605405,9638433.708836185,275.0,88579.0,750.3916014317289,6115282.780921033,295.1092463954602,0.001610527272727273,0.0015007832028634575,264.1643367734809,0.0920900437918741,0.9998772924117634,0.9996932874833381
93,12161693.184925212,4557372.096071869,282.0,88637.0,732.3938813093345,5680354.685036284,302.5591906964718,0.001571578014184397,0.0014647877626186687,270.33244112857477,0.09444304037870661,0.9998710654665212,0.9996777259946755
94,8229725.247071542,3071834.917700164,280.0,88822.0,739.7827678111094,5594695.814179409,300.16243911306935,0.001586107142857143,0.0014795655356222186,268.1682785354659,0.09783390153178655,0.9998677706898852,0.9996694922789248
95,16182796.189732471,6121966.104446729,283.0,88950.0,732.2050921088953,5746770.257959124,303.7058911452201,0.0015715547703180211,0.0014644101842177905,271.50479733911715,0.0933032973289646,0.9998725884176256,0.9996815319088491
96,16343940.32132974,6245422.593100663,279.0,88644.0,740.513010721998,5772806.424091403,299.2655048476879,0.0015886021505376346,0.0014810260214439958,267.7332927094058,0.09500229683723252,0.9998717239144497,0.9996793714795814
97,27710027.641873658,11142648.171645371,276.0,88028.0,744.0701208354932,5578760.853886736,295.7651353516121,0.0015947101449275362,0.0014881402416709862,265.36617550594053,0.09925397613206263,0.9998666244816146,0.9996666278995515
98,7715292.303330864,2842983.6854377748,282.0,88004.0,727.3689421370377,5501550.124500655,302.4737341047341,0.001560354609929078,0.0014547378842740752,269.95332972568,0.09617935379774574,0.9998677883640653,0.9996695364468539
99,17244151.172570974,6584492.091520807,279.0,87956.0,734.592771901495,5720511.333586712,299.3359156404633,0.0015762724014336917,0.0014691855438029899,267.7504315920212,0.09434398665935505,0.9998715861696509,0.9996790272501377
100,28452630.974936213,11084387.663637407,286.0,88630.0,721.7786590205411,5590105.562542812,306.9846929260542,0.0015494755244755245,0.0014435573180410822,274.81307538452916,0.09320605862127751,0.9998708828212732,0.9996772695582493
