,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,alpha0,beta0,Sdown
75,2152110.436941232,777208.1716591861,244.0,22170.0,90.86065573770492,81269.94779629157,326.8152887885281,0.0018172131147540984,0.001356729673338233,0.10818401433153713,6270.472036563758,240.81072126457454
76,2665398971.77058,1354462592.2413197,239.0,22001.0,92.05439330543932,80165.09745977816,306.8895523699233,0.0018410878661087866,0.001433805734349672,0.10789556338194606,6644.414697915131,236.41317566106738
77,9038126653.758118,4614248014.399212,245.0,22072.0,90.08979591836734,81903.24091628489,315.26195981864674,0.001801795918367347,0.0014002323662960692,0.10069508190523076,6952.83394085671,242.35414780398906
78,1183840.7914497445,420499.21428156097,244.0,22695.0,93.0122950819672,81212.66788161774,327.4076258237507,0.0018602459016393443,0.0013863452290031337,0.11389131913736424,6086.263814940381,240.7560330322633
79,4604489.3936192375,1709374.783473282,250.0,22117.0,88.468,79628.47297599983,333.7628762693236,0.00176936,0.0013253121645651871,0.10354727489589628,6399.551151382891,246.79531711670376
80,1890994.6084917956,712539.1099893125,251.0,22101.0,88.05179282868527,67522.35986730359,334.21793893811457,0.0017610358565737054,0.0013225501940571976,0.11914176013635978,5550.321703085117,247.68217702475027
81,7855398.281703196,3014852.980161654,250.0,21937.0,87.748,78022.98849600015,332.24065926978403,0.00175496,0.0013205487882316565,0.10363640958692436,6371.065890332947,246.8477359631956
82,15385740.236967629,6478843.925029013,245.0,22613.0,92.29795918367348,76920.91122032501,320.5017736973879,0.0018459591836734693,0.001411099835057437,0.11491579661945493,6139.712191746413,242.06440587822678
83,1479847.028363272,524951.5534767607,245.0,23321.0,95.1877551020408,89404.4790337357,328.48830788927944,0.0019037551020408161,0.0014198983306194627,0.11008407137156384,6449.154327817862,241.8028653344107
84,1253597.3006030915,430494.4465925371,249.0,21763.0,87.40160642570281,76199.20417412648,336.9441879791213,0.0017480321285140562,0.0012917866386434622,0.10609686418501096,6087.7701172715815,245.59886040948834
85,4619996.536923161,1760061.792524172,246.0,21994.0,89.40650406504065,79912.37133981084,326.96406257493237,0.001788130081300813,0.0013453466308676967,0.10866375601273298,6190.411045197316,242.86888433517248
86,332165649.83367515,156526908.355812,244.0,22178.0,90.8934426229508,78570.4640553614,315.6724617541684,0.0018178688524590164,0.0014051273194220682,0.10832662709338758,6485.604495978253,241.25342344144624
87,361324585.2489152,173281166.0471748,236.0,21211.0,89.87711864406779,73765.06540864689,304.75144925318097,0.0017975423728813558,0.0013920196312095865,0.1113163688272313,6252.537905589034,233.3402881864566
88,3190311.554881284,1219769.5370108583,247.0,21955.0,88.88663967611336,74138.813060368,328.10029744502435,0.0017777327935222672,0.0013383102771297379,0.11444714087086763,5846.848890003171,243.8126079667295
89,8546971.848486396,3537654.572961442,244.0,21911.0,89.79918032786885,71337.64409768891,320.1485378886373,0.0017959836065573772,0.0013688021281934872,0.11841718969572854,5779.575295236305,240.99277348934334
90,18925538.377809998,7974546.269261595,238.0,21912.0,92.0672268907563,74799.19716121755,311.44974341311985,0.001841344537815126,0.0014070970012606504,0.112649903449328,6245.442553324463,235.15791584320868
91,58228335.34204927,25637273.320220485,247.0,21923.0,88.75708502024291,72292.9855267255,322.13871014625755,0.0017751417004048583,0.001361090692270203,0.11002163435621455,6185.559323102902,244.08746407748987
92,3727046.378188921,1441651.0919984505,243.0,21663.0,89.14814814814815,72525.63237311374,322.1677328554335,0.001782962962962963,0.0013448274169481056,0.11475062599352262,5859.782486171438,239.88937551453242
93,827705.5877409937,285378.51616134285,254.0,22056.0,86.83464566929133,71342.14588629147,343.69695751852527,0.0017366929133858266,0.0012834562260453633,0.1136379010974194,5647.130990852617,250.45384452762843
94,2471824.170152044,903521.7982160216,241.0,22063.0,91.54771784232364,82890.96971470892,322.05665809343964,0.001830954356846473,0.0013701315868215195,0.1086701026639628,6304.08710967328,237.88070300105022
95,1971254.5241070755,764276.5536134315,240.0,22431.0,93.4625,74397.24026041674,317.10487585080176,0.00186925,0.0014147369976457765,0.1249672517643702,5660.430943593564,236.9312506227755
96,1068512.19746712,379138.9136284843,239.0,22493.0,94.11297071129708,79915.93284431289,320.5889705362588,0.0018822594142259414,0.0014032298093334455,0.11537016964625842,6081.4238794826715,235.8233673485708
97,393207.49672262114,126486.415510389,244.0,21912.0,89.80327868852459,78225.56785810267,334.1670670491949,0.0017960655737704917,0.001311439825204211,0.11289415129441252,5808.271775674875,240.46596025935963
98,7242908.381786276,2856852.922746098,244.0,22298.0,91.38524590163937,79138.1138806772,322.33522667034043,0.001827704918032787,0.0013835285848421818,0.1101265611528554,6281.539032721848,240.97742860919365
99,52178395.8146492,22946939.281928677,249.0,22291.0,89.52208835341365,73910.9804357996,324.6280921935136,0.001790441767068273,0.0013733253859442417,0.11087719252677547,6193.002161434603,246.0686808175404
